iter	MultiClass
0	1.096143957
1	1.094087697
2	1.092395763
3	1.090925992
4	1.089605559
5	1.088553745
6	1.087639552
7	1.086831754
8	1.086125539
9	1.085542714
10	1.085040404
11	1.084560186
12	1.084134708
13	1.08374566
14	1.083429272
15	1.083125098
16	1.08287583
17	1.082652085
18	1.082448828
19	1.082259788
20	1.082039648
21	1.081873796
22	1.081734544
23	1.081584831
24	1.081454923
25	1.081355368
26	1.081270342
27	1.081166612
28	1.081093707
29	1.080984656
30	1.080906878
31	1.080809105
32	1.080725097
33	1.080663617
34	1.080601416
35	1.080547806
36	1.080490767
37	1.080435558
38	1.080377638
39	1.080324222
40	1.080270114
41	1.08022044
42	1.080150167
43	1.080105601
44	1.080060813
45	1.080023262
46	1.079985782
47	1.079943709
48	1.079904486
49	1.079858495
50	1.079826961
51	1.079767507
52	1.079732067
53	1.079692153
54	1.079664222
55	1.079634775
56	1.079603665
57	1.079555291
58	1.079519081
59	1.07948575
60	1.079443994
61	1.079418863
62	1.079393278
63	1.079344606
64	1.079319842
65	1.079269992
66	1.079247047
67	1.079217836
68	1.079194104
69	1.079164663
70	1.079144862
71	1.079124759
72	1.079101431
73	1.079082972
74	1.079059623
75	1.079018203
76	1.078995134
77	1.078980479
78	1.078935266
79	1.078912685
80	1.078877732
81	1.078853917
82	1.07883258
83	1.07880134
84	1.078783062
85	1.078756762
86	1.078731952
87	1.078706756
88	1.078685359
89	1.078662668
90	1.07863619
91	1.07861835
92	1.078594337
93	1.078573042
94	1.078555451
95	1.078540301
96	1.078517949
97	1.078489944
98	1.078475074
99	1.078452583
100	1.078429686
101	1.07840484
102	1.078385706
103	1.078370409
104	1.078356375
105	1.07833179
106	1.078316578
107	1.078303695
108	1.07829158
109	1.078270336
110	1.078255743
111	1.078241961
112	1.078223177
113	1.078195585
114	1.078177592
115	1.078153915
116	1.078139833
117	1.078123472
118	1.078104467
119	1.078083128
120	1.07806587
121	1.078054185
122	1.078036706
123	1.078022253
124	1.078003007
125	1.077988343
126	1.077971579
127	1.077956158
128	1.077943992
129	1.077932502
130	1.077919325
131	1.077895074
132	1.077881043
133	1.077865857
134	1.077849223
135	1.077823862
136	1.077810525
137	1.077796942
138	1.077775249
139	1.077764391
140	1.077745974
141	1.077728123
142	1.077702122
143	1.07768597
144	1.077662311
145	1.077641976
146	1.077619967
147	1.077605303
148	1.077584459
149	1.077570735
150	1.077553107
151	1.077533577
152	1.077517981
153	1.077503797
154	1.077485128
155	1.077468647
156	1.07745578
157	1.077436265
158	1.077414654
159	1.077393953
160	1.077373012
161	1.07736196
162	1.077346183
163	1.077332828
164	1.077319372
165	1.077304894
166	1.077290473
167	1.077276644
168	1.077254314
169	1.077240451
170	1.077226704
171	1.07721168
172	1.077195498
173	1.077179647
174	1.077168987
175	1.077150417
176	1.077133973
177	1.077117175
178	1.077106861
179	1.077087917
180	1.077070165
181	1.077055219
182	1.077040616
183	1.077022401
184	1.077012563
185	1.076992912
186	1.076975762
187	1.076964601
188	1.076953123
189	1.076937285
190	1.076924656
191	1.076911671
192	1.076897761
193	1.076881752
194	1.076873277
195	1.076860934
196	1.076841412
197	1.076821425
198	1.076808305
199	1.07679456
200	1.076783817
201	1.076772117
202	1.076758669
203	1.076746743
204	1.076734291
205	1.076721762
206	1.076710566
207	1.076698205
208	1.076684906
209	1.076673591
210	1.07665544
211	1.076639669
212	1.076628791
213	1.076617597
214	1.076608652
215	1.07660032
216	1.07658826
217	1.076580324
218	1.076567513
219	1.076552331
220	1.07654406
221	1.076532126
222	1.076516591
223	1.076502189
224	1.076488678
225	1.076475875
226	1.076462662
227	1.07645043
228	1.076441893
229	1.076432159
230	1.076413477
231	1.07638804
232	1.076376412
233	1.076365178
234	1.076352825
235	1.076331062
236	1.076321905
237	1.076311876
238	1.076296167
239	1.076285098
240	1.076273007
241	1.076260662
242	1.076248654
243	1.076238867
244	1.076223163
245	1.076212139
246	1.076199352
247	1.076191549
248	1.076176782
249	1.076164264
250	1.076153063
251	1.076133454
252	1.076120167
253	1.076112707
254	1.076100528
255	1.07608761
256	1.0760822
257	1.076071815
258	1.076060121
259	1.076046511
260	1.076030883
261	1.076020409
262	1.076009875
263	1.075994448
264	1.075984689
265	1.075975345
266	1.075965003
267	1.075954097
268	1.075942692
269	1.075929744
270	1.075917533
271	1.075907689
272	1.075894836
273	1.075885897
274	1.075872627
275	1.075865393
276	1.075856649
277	1.07584524
278	1.075829677
279	1.075819697
280	1.075809665
281	1.075797469
282	1.075788678
283	1.075780279
284	1.075769735
285	1.075752817
286	1.07573955
287	1.075726353
288	1.075714434
289	1.075705006
290	1.075693086
291	1.075681442
292	1.075672971
293	1.075662781
294	1.075654271
295	1.075644946
296	1.075632576
297	1.075621273
298	1.075614097
299	1.075601343
300	1.075585029
301	1.075574548
302	1.075561398
303	1.075547545
304	1.07553614
305	1.07552232
306	1.075508739
307	1.07549669
308	1.075486363
309	1.07547728
310	1.075469948
311	1.075460025
312	1.075447677
313	1.075439535
314	1.075423909
315	1.075414505
316	1.07540408
317	1.075396629
318	1.075388148
319	1.075377194
320	1.075365608
321	1.07535673
322	1.075348004
323	1.075337144
324	1.075327652
325	1.075320705
326	1.075310655
327	1.075296023
328	1.075290007
329	1.075280173
330	1.075265674
331	1.075255775
332	1.075247666
333	1.075237811
334	1.075226458
335	1.075217714
336	1.075206525
337	1.07519742
338	1.075186425
339	1.075176212
340	1.075165921
341	1.075157647
342	1.075145108
343	1.075134955
344	1.075127403
345	1.075117165
346	1.075111358
347	1.075104325
348	1.075094587
349	1.075086851
350	1.075075955
351	1.075065228
352	1.075058093
353	1.075050629
354	1.075043326
355	1.075034822
356	1.075026114
357	1.075019423
358	1.075011423
359	1.074998774
360	1.074989757
361	1.074978684
362	1.074966284
363	1.07495831
364	1.074948478
365	1.074937676
366	1.074928745
367	1.074919755
368	1.07491138
369	1.074900925
370	1.074889976
371	1.074877328
372	1.074865645
373	1.074857753
374	1.074847083
375	1.07483933
376	1.074829225
377	1.074820003
378	1.074810926
379	1.074799793
380	1.074791889
381	1.07478479
382	1.074774628
383	1.074768279
384	1.074758777
385	1.074747437
386	1.074737222
387	1.074730471
388	1.074721408
389	1.074711584
390	1.074701183
391	1.074690918
392	1.074684404
393	1.074675169
394	1.074667416
395	1.074654385
396	1.074642547
397	1.074634139
398	1.074623554
399	1.074608123
400	1.074595354
401	1.074585188
402	1.074574234
403	1.074564749
404	1.074557531
405	1.07455036
406	1.074543251
407	1.074533626
408	1.074528725
409	1.07452175
410	1.074511425
411	1.074504976
412	1.074498413
413	1.074484814
414	1.074477733
415	1.074471102
416	1.074462576
417	1.074455377
418	1.074444259
419	1.074437724
420	1.074430121
421	1.074421116
422	1.07441327
423	1.074404276
424	1.074397291
425	1.074387624
426	1.074378527
427	1.074372475
428	1.074365051
429	1.074354771
430	1.07434514
431	1.07434034
432	1.074332685
433	1.074326919
434	1.074316942
435	1.074308677
436	1.074302834
437	1.074292575
438	1.074286113
439	1.074275145
440	1.074268919
441	1.074260672
442	1.074252479
443	1.074245583
444	1.074237714
445	1.074228256
446	1.074218704
447	1.074207005
448	1.074199055
449	1.074191021
450	1.074184748
451	1.074175717
452	1.074167867
453	1.07416088
454	1.074150714
455	1.074142602
456	1.074130868
457	1.074123702
458	1.074117731
459	1.074108065
460	1.074097819
461	1.074091771
462	1.07408232
463	1.074072303
464	1.074064029
465	1.07405748
466	1.074050791
467	1.074041697
468	1.074032714
469	1.07402554
470	1.074017155
471	1.074011323
472	1.074002589
473	1.073995871
474	1.073989804
475	1.073978587
476	1.073974714
477	1.073967458
478	1.07395901
479	1.073952938
480	1.07394327
481	1.073936457
482	1.073930195
483	1.073925036
484	1.073920693
485	1.073914019
486	1.073904862
487	1.073896716
488	1.073888345
489	1.07388177
490	1.073876771
491	1.073869539
492	1.073859307
493	1.073846767
494	1.073836537
495	1.073828089
496	1.073820121
497	1.073810862
498	1.073803668
499	1.073796619
500	1.073791412
501	1.073784458
502	1.073776778
503	1.073769666
504	1.073762773
505	1.073756292
506	1.073749877
507	1.073746036
508	1.073739875
509	1.073733727
510	1.073724042
511	1.073716002
512	1.073709751
513	1.073704748
514	1.073698323
515	1.073694431
516	1.073685639
517	1.073677572
518	1.073673017
519	1.073667414
520	1.07366006
521	1.073650688
522	1.073643206
523	1.073637559
524	1.073629558
525	1.073623891
526	1.073618462
527	1.073612689
528	1.073607582
529	1.073600741
530	1.073596542
531	1.073590997
532	1.073583059
533	1.073576561
534	1.073569825
535	1.073563049
536	1.073557262
537	1.073552428
538	1.073545772
539	1.073538279
540	1.073533776
541	1.073527385
542	1.073519565
543	1.073514807
544	1.073504226
545	1.073494643
546	1.073486902
547	1.073480919
548	1.073474487
549	1.07346736
550	1.073460339
551	1.073454548
552	1.073446816
553	1.073437737
554	1.073426207
555	1.073421273
556	1.073412888
557	1.073402673
558	1.073395081
559	1.073386664
560	1.073375813
561	1.073369635
562	1.073362846
563	1.073357366
564	1.073351448
565	1.073347028
566	1.073338432
567	1.073331916
568	1.073325538
569	1.073318567
570	1.073311569
571	1.073303428
572	1.073294766
573	1.073286025
574	1.073276248
575	1.073271822
576	1.073265557
577	1.073257878
578	1.073251865
579	1.073243443
580	1.073235235
581	1.073225692
582	1.073220504
583	1.073214404
584	1.073206505
585	1.073200802
586	1.073191077
587	1.073186596
588	1.07317844
589	1.073173591
590	1.073168228
591	1.073161512
592	1.073155481
593	1.073148303
594	1.073141499
595	1.073137753
596	1.07312946
597	1.073123369
598	1.073116532
599	1.073108931
600	1.073104095
601	1.073096633
602	1.073089738
603	1.07308228
604	1.073074395
605	1.07306774
606	1.073060829
607	1.073054175
608	1.073046532
609	1.073037535
610	1.073029533
611	1.073023882
612	1.073016618
613	1.073007172
614	1.072999196
615	1.072992586
616	1.072988199
617	1.072978669
618	1.07297278
619	1.072962449
620	1.072955009
621	1.072948899
622	1.072941902
623	1.072936452
624	1.072930023
625	1.072922942
626	1.072916689
627	1.072905569
628	1.072897719
629	1.072889615
630	1.072877245
631	1.072868511
632	1.072863424
633	1.072856985
634	1.072851924
635	1.072843732
636	1.072836992
637	1.072830904
638	1.07282606
639	1.072820164
640	1.072814182
641	1.072809419
642	1.072801056
643	1.072793554
644	1.07278677
645	1.072777119
646	1.072770044
647	1.072762556
648	1.072753679
649	1.072748842
650	1.072741819
651	1.072733112
652	1.072728691
653	1.072723057
654	1.072716303
655	1.072709676
656	1.072705023
657	1.072697814
658	1.07269366
659	1.072688715
660	1.072681858
661	1.072675652
662	1.072667793
663	1.072664041
664	1.07265699
665	1.072653924
666	1.072648184
667	1.072640584
