Date,share_amount,bs_signal,cash_earned,holding,bankroll,cumulative_percentage,close
2017-11-20,1,1,-378.51366105499994,1,0,0,366.730011
2017-11-28,2,-1,931.1249961189999,-1,931.1249961189999,145.9950833805448,472.9020081
2017-12-13,2,1,-1422.511727888,1,-491.3867317690001,-229.8200784614744,702.7670288
2017-12-27,2,-1,1508.1055402,-1,1016.7188084309998,168.60822026797746,762.84198
2018-02-14,2,1,-1866.3075579409997,1,-849.5887495099998,-324.4539198775577,923.5609741
2018-02-17,2,-1,1928.538830498,-1,1078.950080988,185.04917840500957,974.1149902
2018-03-18,2,1,-1092.6244036189998,1,-13.674322630999768,-103.61263648791075,538.6439819
2018-03-22,2,-1,1064.057032536,-1,1050.3827099050002,177.5019287222963,539.7020264
2018-03-30,2,1,-803.18642789,1,247.19628201500018,-34.69290346720635,394.644989
2018-04-04,2,-1,747.330568607,-1,994.5268506220002,162.74529903360354,380.5429993
2018-04-07,2,1,-784.431130754,1,210.09571986800017,-44.49454762546279,385.3139954
2018-05-04,2,-1,1553.441806566,-1,1763.537526434,365.9111963141931,785.6240234
2018-05-10,2,1,-1471.776724775,1,291.760801659,-22.919346993765263,727.2769775
2018-05-20,2,-1,1413.634347014,-1,1705.395148673,350.5504884340746,715.3690186
2018-07-02,2,1,-965.3974396489999,1,739.9977090240001,95.50092510834759,475.3469849
2018-07-05,2,-1,934.129854727,-1,1674.127563751,342.28986586239506,474.4119873
2018-07-07,2,1,-998.1866074369999,1,675.9409563140001,78.57769107461156,491.6600037
2018-08-09,2,-1,717.5701452729999,-1,1393.511101587,268.15344991855284,365.5880127
2018-08-25,2,1,-572.038452161,1,821.472649426,117.02589204743019,279.6459961
2018-10-02,2,-1,442.140189602,-1,1263.612839028,233.8354646186444,227.1809998
2018-10-22,2,1,-420.07845266299995,1,843.534386365,122.85441006643885,204.0440063
2018-10-27,2,-1,396.42791333300005,-1,1239.9622996980002,227.5871988984375,204.2100067
2018-11-03,2,1,-412.3238692459999,1,827.6384304520002,118.65483748861053,200.1860046
2018-11-06,2,-1,424.769471642,-1,1252.4079020940003,230.87521824265656,218.4519958
2018-11-25,2,1,-244.01449376899996,1,1008.3934083250003,166.40872234687342,116.4499969
2018-11-28,2,-1,233.701626965,-1,1242.0950352900004,228.15064899586747,122.4380035
2018-12-20,2,1,-243.54591513199995,1,998.5491201580005,163.80794747931338,116.2168732
2019-01-16,2,-1,235.908660743,-1,1234.4577809010004,226.13295315690797,123.5470657
2019-02-13,2,1,-256.282744241,1,978.1750366600004,158.42529274468288,122.5536041
2019-02-18,2,-1,280.785763066,-1,1258.9607997260005,232.6064365066779,146.0983734
2019-02-26,2,1,-287.510248559,1,971.4505511670004,156.6487424679353,138.0896759
2019-05-08,2,-1,330.236850141,-1,1301.6874013080005,243.89443109659888,170.9481659
2019-05-11,2,1,-400.50171636499994,1,901.1856849430005,138.08537911979184,194.3043365
2019-05-22,2,-1,477.000838064,-1,1378.1865230070005,264.1048302366934,244.6989136
2019-05-27,2,1,-558.4039072039999,1,819.7826158030006,116.57939993977709,272.8626404
2019-06-21,2,-1,576.9214538169999,-1,1396.7040696200006,268.99700415754677,294.9102783
2019-07-06,2,1,-587.919709391,1,808.7843602290006,113.67375697213744,287.5471191
2019-07-13,2,-1,526.2730145869999,-1,1335.0573748160004,252.71048635203942,269.4588013
2019-07-18,2,1,-465.34798582099995,1,869.7093889950005,129.76961691975163,226.5661621
2019-07-25,2,-1,427.089812438,-1,1296.7992014330005,242.60301142593872,219.6179962
