Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Class Weight: {0: 1.1, -1: 1.1, 1: 1}
--------------------------------------------------
Highest % gain: ('LLY', {'final_portfolio_value': 22672.819975666032, 'Portfolio cumulative percent gain': 126.72819975666032, 'Stock percent gain': 231.27694350685087, 'total_trades': 107, 'winning_trades': 68, 'losing_trades': 39, 'sharpe_ratio': 3.077763533383227})
Lowest % gain: ('ENPH', {'final_portfolio_value': 3109.3949732264923, 'Portfolio cumulative percent gain': -68.90605026773508, 'Stock percent gain': -64.4208001609092, 'total_trades': 63, 'winning_trades': 25, 'losing_trades': 37, 'sharpe_ratio': -4.025844455973758})
Number of stocks with a positive gain 278
Number of stocks with a negative gain 219
Win/Loss Ratio: 0.98
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
CTLT: {'final_portfolio_value': 22516.31609140029, 'Portfolio cumulative percent gain': 125.16316091400292, 'Stock percent gain': 24.834295393950946, 'total_trades': 86, 'winning_trades': 49, 'losing_trades': 36, 'sharpe_ratio': 0.944436066694625}
ALB: {'final_portfolio_value': 13635.582960656433, 'Portfolio cumulative percent gain': 36.355829606564335, 'Stock percent gain': -60.977820534424964, 'total_trades': 126, 'winning_trades': 69, 'losing_trades': 57, 'sharpe_ratio': 0.4073639341713606}
ON: {'final_portfolio_value': 17968.4756487372, 'Portfolio cumulative percent gain': 79.684756487372, 'Stock percent gain': -3.4249477233219, 'total_trades': 101, 'winning_trades': 54, 'losing_trades': 47, 'sharpe_ratio': 0.8761899820418017}
MHK: {'final_portfolio_value': 13555.497050566773, 'Portfolio cumulative percent gain': 35.55497050566773, 'Stock percent gain': -39.97343957503319, 'total_trades': 132, 'winning_trades': 65, 'losing_trades': 66, 'sharpe_ratio': 0.951034885889748}
LH: {'final_portfolio_value': 15401.656764678859, 'Portfolio cumulative percent gain': 54.01656764678859, 'Stock percent gain': -17.676509611267047, 'total_trades': 111, 'winning_trades': 67, 'losing_trades': 44, 'sharpe_ratio': 1.312899264233725}
FIS: {'final_portfolio_value': 13726.585311080145, 'Portfolio cumulative percent gain': 37.26585311080145, 'Stock percent gain': -33.665184117187934, 'total_trades': 139, 'winning_trades': 76, 'losing_trades': 63, 'sharpe_ratio': 0.9212908248040488}
APA: {'final_portfolio_value': 15978.152773505466, 'Portfolio cumulative percent gain': 59.78152773505466, 'Stock percent gain': -4.650369906517905, 'total_trades': 131, 'winning_trades': 68, 'losing_trades': 62, 'sharpe_ratio': 0.7805080612701322}
MTB: {'final_portfolio_value': 15203.46985214109, 'Portfolio cumulative percent gain': 52.0346985214109, 'Stock percent gain': -10.054881398270776, 'total_trades': 119, 'winning_trades': 66, 'losing_trades': 52, 'sharpe_ratio': 1.236085326994169}
REG: {'final_portfolio_value': 14119.711631237713, 'Portfolio cumulative percent gain': 41.19711631237713, 'Stock percent gain': -20.190086177077603, 'total_trades': 132, 'winning_trades': 73, 'losing_trades': 59, 'sharpe_ratio': 1.6690637342241852}
BEN: {'final_portfolio_value': 12554.964739255807, 'Portfolio cumulative percent gain': 25.549647392558075, 'Stock percent gain': -33.28463147484085, 'total_trades': 131, 'winning_trades': 68, 'losing_trades': 63, 'sharpe_ratio': 1.1225347680445588}
STX: {'final_portfolio_value': 14705.698719366686, 'Portfolio cumulative percent gain': 47.05698719366686, 'Stock percent gain': -11.153245290828101, 'total_trades': 116, 'winning_trades': 62, 'losing_trades': 54, 'sharpe_ratio': 0.5187380856422141}
LULU: {'final_portfolio_value': 13773.947870768572, 'Portfolio cumulative percent gain': 37.73947870768572, 'Stock percent gain': -18.11879593323349, 'total_trades': 127, 'winning_trades': 63, 'losing_trades': 64, 'sharpe_ratio': 0.532047109434104}
EPAM: {'final_portfolio_value': 9527.040432075277, 'Portfolio cumulative percent gain': -4.729595679247232, 'Stock percent gain': -59.6506182216759, 'total_trades': 93, 'winning_trades': 54, 'losing_trades': 39, 'sharpe_ratio': -0.9724065572774853}
BX: {'final_portfolio_value': 15157.076728390604, 'Portfolio cumulative percent gain': 51.570767283906044, 'Stock percent gain': -0.6563147741322856, 'total_trades': 86, 'winning_trades': 46, 'losing_trades': 39, 'sharpe_ratio': 0.4960999266469234}
BAC: {'final_portfolio_value': 13435.203895536924, 'Portfolio cumulative percent gain': 34.352038955369245, 'Stock percent gain': -17.712022718711363, 'total_trades': 109, 'winning_trades': 60, 'losing_trades': 49, 'sharpe_ratio': 0.7705921832399422}
TROW: {'final_portfolio_value': 11112.7311578205, 'Portfolio cumulative percent gain': 11.127311578205008, 'Stock percent gain': -39.30914251108748, 'total_trades': 111, 'winning_trades': 63, 'losing_trades': 48, 'sharpe_ratio': 0.22761474083654623}
NKE: {'final_portfolio_value': 10827.357272180237, 'Portfolio cumulative percent gain': 8.273572721802374, 'Stock percent gain': -41.59504738166275, 'total_trades': 123, 'winning_trades': 61, 'losing_trades': 61, 'sharpe_ratio': 0.487780575777977}
WST: {'final_portfolio_value': 12644.36994629251, 'Portfolio cumulative percent gain': 26.443699462925107, 'Stock percent gain': -22.43356415719696, 'total_trades': 118, 'winning_trades': 66, 'losing_trades': 52, 'sharpe_ratio': 0.6652378111724672}
BIIB: {'final_portfolio_value': 13998.440501661395, 'Portfolio cumulative percent gain': 39.98440501661394, 'Stock percent gain': -7.334627907544858, 'total_trades': 113, 'winning_trades': 60, 'losing_trades': 53, 'sharpe_ratio': 0.448299814159951}
A: {'final_portfolio_value': 13542.118418669908, 'Portfolio cumulative percent gain': 35.42118418669909, 'Stock percent gain': -11.865865567638236, 'total_trades': 117, 'winning_trades': 56, 'losing_trades': 60, 'sharpe_ratio': 1.6654776446567197}
MGM: {'final_portfolio_value': 13894.139648438493, 'Portfolio cumulative percent gain': 38.94139648438493, 'Stock percent gain': -7.468604175442126, 'total_trades': 122, 'winning_trades': 66, 'losing_trades': 55, 'sharpe_ratio': 1.4641984203196408}
BALL: {'final_portfolio_value': 11310.862934522867, 'Portfolio cumulative percent gain': 13.108629345228675, 'Stock percent gain': -32.607489825849605, 'total_trades': 121, 'winning_trades': 65, 'losing_trades': 55, 'sharpe_ratio': 0.3935064066969607}
CCI: {'final_portfolio_value': 9325.087497448043, 'Portfolio cumulative percent gain': -6.74912502551957, 'Stock percent gain': -52.26316947137032, 'total_trades': 98, 'winning_trades': 54, 'losing_trades': 43, 'sharpe_ratio': -0.3251992974181652}
CPT: {'final_portfolio_value': 10695.719844866277, 'Portfolio cumulative percent gain': 6.957198448662766, 'Stock percent gain': -37.78357963284059, 'total_trades': 123, 'winning_trades': 60, 'losing_trades': 63, 'sharpe_ratio': 0.1774788064084438}
TSLA: {'final_portfolio_value': 12144.267691365256, 'Portfolio cumulative percent gain': 21.44267691365256, 'Stock percent gain': -22.60861030890368, 'total_trades': 119, 'winning_trades': 59, 'losing_trades': 59, 'sharpe_ratio': 0.7131316453241764}
PARA: {'final_portfolio_value': 7473.354432300541, 'Portfolio cumulative percent gain': -25.266455676994592, 'Stock percent gain': -69.2889565723542, 'total_trades': 111, 'winning_trades': 57, 'losing_trades': 53, 'sharpe_ratio': -0.5171052948159209}
JBHT: {'final_portfolio_value': 11922.085671461991, 'Portfolio cumulative percent gain': 19.220856714619913, 'Stock percent gain': -24.790527823592345, 'total_trades': 115, 'winning_trades': 57, 'losing_trades': 58, 'sharpe_ratio': 0.8074188876380182}
SHW: {'final_portfolio_value': 13294.129404817148, 'Portfolio cumulative percent gain': 32.94129404817148, 'Stock percent gain': -10.264503553490702, 'total_trades': 111, 'winning_trades': 53, 'losing_trades': 57, 'sharpe_ratio': 0.5475783740673066}
LYB: {'final_portfolio_value': 13171.229530319217, 'Portfolio cumulative percent gain': 31.71229530319217, 'Stock percent gain': -11.350095221804034, 'total_trades': 102, 'winning_trades': 64, 'losing_trades': 37, 'sharpe_ratio': 0.47006716121964853}
BXP: {'final_portfolio_value': 9249.741733387853, 'Portfolio cumulative percent gain': -7.502582666121469, 'Stock percent gain': -50.375211935320614, 'total_trades': 142, 'winning_trades': 66, 'losing_trades': 76, 'sharpe_ratio': -2.37211763672238}
TSN: {'final_portfolio_value': 10399.040206870977, 'Portfolio cumulative percent gain': 3.9904020687097725, 'Stock percent gain': -37.123074981678464, 'total_trades': 124, 'winning_trades': 61, 'losing_trades': 62, 'sharpe_ratio': 0.09475072339984222}
