Buy/Sell Threshold 0.0066 within a look ahead day count: 1
Technical Indicators: ['SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'close']
Number of stocks with a positive gain 255
Number of stocks with a negative gain 245
Sum of the Top 100 portfolios: 1666989.8702003155
Sum of the Bottom 100 portfolios: 677697.0637406347
SMCI.csv: {'final_portfolio_value': 66439.39199852772, 'Percent gain': 564.3939199852772, 'total_trades': 127}
NVDA.csv: {'final_portfolio_value': 42934.0639630182, 'Percent gain': 329.340639630182, 'total_trades': 122}
FICO.csv: {'final_portfolio_value': 30020.25991070627, 'Percent gain': 200.2025991070627, 'total_trades': 106}
ANET.csv: {'final_portfolio_value': 23492.94768038686, 'Percent gain': 134.9294768038686, 'total_trades': 40}
EQT.csv: {'final_portfolio_value': 22878.16998242823, 'Percent gain': 128.7816998242823, 'total_trades': 137}
META.csv: {'final_portfolio_value': 22330.95110716355, 'Percent gain': 123.3095110716355, 'total_trades': 58}
MRO.csv: {'final_portfolio_value': 21747.65640013293, 'Percent gain': 117.47656400132931, 'total_trades': 96}
CTRA.csv: {'final_portfolio_value': 21204.778750508354, 'Percent gain': 112.04778750508353, 'total_trades': 122}
COP.csv: {'final_portfolio_value': 20865.34447884679, 'Percent gain': 108.65344478846788, 'total_trades': 126}
NXPI.csv: {'final_portfolio_value': 20538.1018577074, 'Percent gain': 105.38101857707397, 'total_trades': 88}
ETN.csv: {'final_portfolio_value': 20139.336347914956, 'Percent gain': 101.39336347914956, 'total_trades': 116}
AMP.csv: {'final_portfolio_value': 19986.3296017408, 'Percent gain': 99.863296017408, 'total_trades': 107}
DECK.csv: {'final_portfolio_value': 19653.423524145925, 'Percent gain': 96.53423524145924, 'total_trades': 101}
AVGO.csv: {'final_portfolio_value': 19398.906400221887, 'Percent gain': 93.98906400221888, 'total_trades': 113}
OXY.csv: {'final_portfolio_value': 18952.294228240153, 'Percent gain': 89.52294228240153, 'total_trades': 118}
CPRT.csv: {'final_portfolio_value': 18869.4639200358, 'Percent gain': 88.694639200358, 'total_trades': 104}
SYK.csv: {'final_portfolio_value': 18608.913674257685, 'Percent gain': 86.08913674257685, 'total_trades': 117}
KKR.csv: {'final_portfolio_value': 18459.452367632013, 'Percent gain': 84.59452367632014, 'total_trades': 85}
SNPS.csv: {'final_portfolio_value': 18406.382593042064, 'Percent gain': 84.06382593042065, 'total_trades': 102}
FCX.csv: {'final_portfolio_value': 18160.609754490048, 'Percent gain': 81.60609754490048, 'total_trades': 131}
PSX.csv: {'final_portfolio_value': 17995.670861402643, 'Percent gain': 79.95670861402643, 'total_trades': 106}
RF.csv: {'final_portfolio_value': 17949.71716048824, 'Percent gain': 79.4971716048824, 'total_trades': 96}
GE.csv: {'final_portfolio_value': 17947.142604946195, 'Percent gain': 79.47142604946195, 'total_trades': 113}
APA.csv: {'final_portfolio_value': 17734.99169430789, 'Percent gain': 77.3499169430789, 'total_trades': 135}
FSLR.csv: {'final_portfolio_value': 17625.985475596866, 'Percent gain': 76.25985475596866, 'total_trades': 104}
BLDR.csv: {'final_portfolio_value': 17470.55522848069, 'Percent gain': 74.70555228480691, 'total_trades': 131}
APH.csv: {'final_portfolio_value': 17035.259615333773, 'Percent gain': 70.35259615333773, 'total_trades': 95}
VST.csv: {'final_portfolio_value': 17028.628692489157, 'Percent gain': 70.28628692489157, 'total_trades': 61}
XOM.csv: {'final_portfolio_value': 16943.30201753915, 'Percent gain': 69.4330201753915, 'total_trades': 132}
CAT.csv: {'final_portfolio_value': 16887.58771309432, 'Percent gain': 68.87587713094318, 'total_trades': 122}
TDG.csv: {'final_portfolio_value': 16849.77996680683, 'Percent gain': 68.49779966806828, 'total_trades': 107}
VRTX.csv: {'final_portfolio_value': 16845.383109975974, 'Percent gain': 68.45383109975974, 'total_trades': 105}
RCL.csv: {'final_portfolio_value': 16596.752521564384, 'Percent gain': 65.96752521564383, 'total_trades': 98}
AIG.csv: {'final_portfolio_value': 16582.44840500648, 'Percent gain': 65.8244840500648, 'total_trades': 110}
STZ.csv: {'final_portfolio_value': 16435.499729905212, 'Percent gain': 64.35499729905213, 'total_trades': 96}
NWSA.csv: {'final_portfolio_value': 16165.932323966324, 'Percent gain': 61.659323239663244, 'total_trades': 83}
TT.csv: {'final_portfolio_value': 16088.412369087351, 'Percent gain': 60.884123690873515, 'total_trades': 94}
CRWD.csv: {'final_portfolio_value': 15773.809296409148, 'Percent gain': 57.73809296409148, 'total_trades': 24}
PWR.csv: {'final_portfolio_value': 15752.065722609885, 'Percent gain': 57.52065722609884, 'total_trades': 87}
ACGL.csv: {'final_portfolio_value': 15702.803692604799, 'Percent gain': 57.028036926047996, 'total_trades': 117}
EG.csv: {'final_portfolio_value': 15578.588848660205, 'Percent gain': 55.785888486602055, 'total_trades': 105}
WYNN.csv: {'final_portfolio_value': 15522.994049613906, 'Percent gain': 55.229940496139065, 'total_trades': 115}
STLD.csv: {'final_portfolio_value': 15515.668149240539, 'Percent gain': 55.15668149240538, 'total_trades': 114}
LLY.csv: {'final_portfolio_value': 15482.361968396235, 'Percent gain': 54.82361968396235, 'total_trades': 96}
PHM.csv: {'final_portfolio_value': 15480.130326670114, 'Percent gain': 54.80130326670115, 'total_trades': 110}
NOC.csv: {'final_portfolio_value': 15479.404093937677, 'Percent gain': 54.79404093937677, 'total_trades': 113}
L.csv: {'final_portfolio_value': 15329.294989569067, 'Percent gain': 53.292949895690676, 'total_trades': 100}
PCAR.csv: {'final_portfolio_value': 15150.554864921432, 'Percent gain': 51.505548649214326, 'total_trades': 93}
HPE.csv: {'final_portfolio_value': 15069.998670217274, 'Percent gain': 50.69998670217274, 'total_trades': 60}
AFL.csv: {'final_portfolio_value': 15014.72261106767, 'Percent gain': 50.14722611067669, 'total_trades': 108}
PCG.csv: {'final_portfolio_value': 14902.222405150844, 'Percent gain': 49.02222405150844, 'total_trades': 133}
TXN.csv: {'final_portfolio_value': 14883.267811175447, 'Percent gain': 48.83267811175447, 'total_trades': 121}
AJG.csv: {'final_portfolio_value': 14808.160888358783, 'Percent gain': 48.08160888358783, 'total_trades': 123}
MLM.csv: {'final_portfolio_value': 14743.068596786761, 'Percent gain': 47.43068596786761, 'total_trades': 115}
CPAY.csv: {'final_portfolio_value': 14692.863567310242, 'Percent gain': 46.92863567310241, 'total_trades': 89}
PH.csv: {'final_portfolio_value': 14688.576216220954, 'Percent gain': 46.88576216220954, 'total_trades': 93}
MSI.csv: {'final_portfolio_value': 14609.764814017952, 'Percent gain': 46.097648140179516, 'total_trades': 103}
IQV.csv: {'final_portfolio_value': 14549.888937039937, 'Percent gain': 45.498889370399375, 'total_trades': 78}
BSX.csv: {'final_portfolio_value': 14458.570053736219, 'Percent gain': 44.585700537362186, 'total_trades': 98}
WELL.csv: {'final_portfolio_value': 14408.734033136821, 'Percent gain': 44.08734033136821, 'total_trades': 121}
MRK.csv: {'final_portfolio_value': 14382.88222972748, 'Percent gain': 43.8288222972748, 'total_trades': 90}
ORLY.csv: {'final_portfolio_value': 14344.214437226996, 'Percent gain': 43.44214437226996, 'total_trades': 75}
WRK.csv: {'final_portfolio_value': 14335.640340391239, 'Percent gain': 43.35640340391239, 'total_trades': 72}
GD.csv: {'final_portfolio_value': 14335.076054253846, 'Percent gain': 43.35076054253847, 'total_trades': 124}
CAH.csv: {'final_portfolio_value': 14329.926164493367, 'Percent gain': 43.29926164493367, 'total_trades': 95}
CMG.csv: {'final_portfolio_value': 14320.489496741417, 'Percent gain': 43.20489496741416, 'total_trades': 93}
CTLT.csv: {'final_portfolio_value': 14318.497286250771, 'Percent gain': 43.18497286250771, 'total_trades': 75}
GILD.csv: {'final_portfolio_value': 14266.385154287278, 'Percent gain': 42.66385154287278, 'total_trades': 91}
GWW.csv: {'final_portfolio_value': 14256.106963274884, 'Percent gain': 42.56106963274884, 'total_trades': 103}
MTB.csv: {'final_portfolio_value': 14108.428514982576, 'Percent gain': 41.08428514982575, 'total_trades': 118}
CINF.csv: {'final_portfolio_value': 14098.094446042198, 'Percent gain': 40.98094446042198, 'total_trades': 135}
AMGN.csv: {'final_portfolio_value': 14083.884868905778, 'Percent gain': 40.83884868905778, 'total_trades': 102}
CBOE.csv: {'final_portfolio_value': 13982.330953036131, 'Percent gain': 39.823309530361314, 'total_trades': 84}
AOS.csv: {'final_portfolio_value': 13909.21560878437, 'Percent gain': 39.092156087843705, 'total_trades': 107}
KLAC.csv: {'final_portfolio_value': 13873.874757169331, 'Percent gain': 38.73874757169332, 'total_trades': 126}
WMB.csv: {'final_portfolio_value': 13815.819910686458, 'Percent gain': 38.15819910686458, 'total_trades': 103}
PNR.csv: {'final_portfolio_value': 13773.506220371286, 'Percent gain': 37.73506220371286, 'total_trades': 98}
GM.csv: {'final_portfolio_value': 13618.967768360744, 'Percent gain': 36.18967768360744, 'total_trades': 101}
AXON.csv: {'final_portfolio_value': 13579.552849590887, 'Percent gain': 35.795528495908876, 'total_trades': 96}
IBM.csv: {'final_portfolio_value': 13578.704633873242, 'Percent gain': 35.78704633873242, 'total_trades': 92}
BRK-B.csv: {'final_portfolio_value': 13549.55816939841, 'Percent gain': 35.4955816939841, 'total_trades': 97}
AZO.csv: {'final_portfolio_value': 13547.820650977348, 'Percent gain': 35.47820650977348, 'total_trades': 109}
BR.csv: {'final_portfolio_value': 13522.191814123124, 'Percent gain': 35.221918141231235, 'total_trades': 110}
HUBB.csv: {'final_portfolio_value': 13498.62186591677, 'Percent gain': 34.9862186591677, 'total_trades': 107}
MCO.csv: {'final_portfolio_value': 13487.191513440974, 'Percent gain': 34.87191513440974, 'total_trades': 107}
MU.csv: {'final_portfolio_value': 13479.334424250015, 'Percent gain': 34.793344242500154, 'total_trades': 112}
CI.csv: {'final_portfolio_value': 13411.876368392335, 'Percent gain': 34.118763683923355, 'total_trades': 99}
TPR.csv: {'final_portfolio_value': 13394.990683746875, 'Percent gain': 33.94990683746875, 'total_trades': 101}
MCK.csv: {'final_portfolio_value': 13344.367087029672, 'Percent gain': 33.44367087029672, 'total_trades': 81}
CTAS.csv: {'final_portfolio_value': 13308.269264953255, 'Percent gain': 33.08269264953255, 'total_trades': 120}
ON.csv: {'final_portfolio_value': 13285.747215741843, 'Percent gain': 32.85747215741843, 'total_trades': 114}
WAT.csv: {'final_portfolio_value': 13128.111800041503, 'Percent gain': 31.281118000415027, 'total_trades': 123}
TTWO.csv: {'final_portfolio_value': 13119.981209034011, 'Percent gain': 31.19981209034011, 'total_trades': 112}
HCA.csv: {'final_portfolio_value': 13059.655993514336, 'Percent gain': 30.596559935143357, 'total_trades': 95}
TJX.csv: {'final_portfolio_value': 13039.333681134194, 'Percent gain': 30.39333681134194, 'total_trades': 104}
APTV.csv: {'final_portfolio_value': 13001.325910562213, 'Percent gain': 30.01325910562213, 'total_trades': 91}
