Buy/Sell Threshold 0.0066 within a look ahead day count: 1
Technical Indicators: ['SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'close']
Highest % gain: ('SMCI.csv', {'final_portfolio_value': 27736.38903095297, 'Percent gain': 177.3638903095297, 'total_trades': 127})
Lowest % gain: ('EL.csv', {'final_portfolio_value': 3076.7412402825457, 'Percent gain': -69.23258759717454, 'total_trades': 80})
Number of stocks with a positive gain 283
Number of stocks with a negative gain 217
Sum of the Top 100 portfolios: 1594192.1488344565
Sum of the Bottom 100 portfolios: 698527.2363158998
--------------------------------------------------
SMCI.csv: {'final_portfolio_value': 27736.38903095297, 'Percent gain': 177.3638903095297, 'total_trades': 127}
AMAT.csv: {'final_portfolio_value': 27107.392912465748, 'Percent gain': 171.0739291246575, 'total_trades': 109}
META.csv: {'final_portfolio_value': 24648.684009677134, 'Percent gain': 146.48684009677135, 'total_trades': 29}
EQT.csv: {'final_portfolio_value': 24173.770519064827, 'Percent gain': 141.73770519064828, 'total_trades': 119}
PHM.csv: {'final_portfolio_value': 23872.082391953827, 'Percent gain': 138.72082391953828, 'total_trades': 53}
CRM.csv: {'final_portfolio_value': 22240.141535503473, 'Percent gain': 122.40141535503473, 'total_trades': 62}
CRWD.csv: {'final_portfolio_value': 21671.238170602253, 'Percent gain': 116.71238170602254, 'total_trades': 10}
NUE.csv: {'final_portfolio_value': 21349.996502012855, 'Percent gain': 113.49996502012856, 'total_trades': 78}
OXY.csv: {'final_portfolio_value': 21027.546954771413, 'Percent gain': 110.27546954771412, 'total_trades': 72}
HUBB.csv: {'final_portfolio_value': 20660.919382774056, 'Percent gain': 106.60919382774057, 'total_trades': 59}
COR.csv: {'final_portfolio_value': 19206.254325010108, 'Percent gain': 92.06254325010109, 'total_trades': 58}
FDX.csv: {'final_portfolio_value': 19164.205846389134, 'Percent gain': 91.64205846389135, 'total_trades': 88}
CDNS.csv: {'final_portfolio_value': 19070.709423195432, 'Percent gain': 90.70709423195431, 'total_trades': 48}
ZTS.csv: {'final_portfolio_value': 18682.30313712539, 'Percent gain': 86.82303137125389, 'total_trades': 55}
NVDA.csv: {'final_portfolio_value': 18472.732235247724, 'Percent gain': 84.72732235247724, 'total_trades': 63}
VST.csv: {'final_portfolio_value': 18388.757698028425, 'Percent gain': 83.88757698028425, 'total_trades': 41}
SNPS.csv: {'final_portfolio_value': 18366.618827843704, 'Percent gain': 83.66618827843703, 'total_trades': 56}
LLY.csv: {'final_portfolio_value': 18252.626858157313, 'Percent gain': 82.52626858157313, 'total_trades': 47}
BLDR.csv: {'final_portfolio_value': 18075.477024062457, 'Percent gain': 80.75477024062457, 'total_trades': 85}
CTLT.csv: {'final_portfolio_value': 17621.647739449087, 'Percent gain': 76.21647739449087, 'total_trades': 67}
XOM.csv: {'final_portfolio_value': 17413.875993161902, 'Percent gain': 74.13875993161902, 'total_trades': 98}
ADSK.csv: {'final_portfolio_value': 17241.87026546648, 'Percent gain': 72.41870265466481, 'total_trades': 73}
CI.csv: {'final_portfolio_value': 17126.853361196678, 'Percent gain': 71.26853361196677, 'total_trades': 61}
FCX.csv: {'final_portfolio_value': 16955.251835987146, 'Percent gain': 69.55251835987147, 'total_trades': 100}
ANET.csv: {'final_portfolio_value': 16915.602614234656, 'Percent gain': 69.15602614234656, 'total_trades': 24}
GD.csv: {'final_portfolio_value': 16761.75247431105, 'Percent gain': 67.61752474311051, 'total_trades': 84}
ETN.csv: {'final_portfolio_value': 16756.867313439852, 'Percent gain': 67.56867313439852, 'total_trades': 63}
