Date,share_amount,bs_signal
2017-11-19,100,1
2017-11-27,,1
2017-12-01,,1
2017-12-02,100,-1
2017-12-06,100,1
2017-12-10,,1
2017-12-18,100,-1
2017-12-20,,-1
2017-12-26,,-1
2017-12-30,,-1
2017-12-31,,-1
2018-01-01,,-1
2018-01-02,100,1
2018-01-09,,1
2018-01-11,,1
2018-01-19,100,-1
2018-01-28,,-1
2018-02-01,,-1
2018-02-07,100,1
2018-02-10,,1
2018-02-13,,1
2018-02-16,100,-1
2018-02-18,,-1
2018-02-19,,-1
2018-02-23,100,1
2018-03-03,100,-1
2018-03-08,,-1
2018-03-12,,-1
2018-03-30,100,1
2018-04-01,,1
2018-04-04,,1
2018-04-08,,1
2018-04-13,,1
2018-04-14,,1
2018-04-19,,1
2018-04-21,,1
2018-04-29,,1
2018-05-01,,1
2018-05-02,,1
2018-05-04,100,-1
2018-05-08,,-1
2018-05-12,,-1
2018-05-18,,-1
2018-05-22,,-1
2018-05-24,,-1
2018-05-28,100,1
2018-05-31,,1
2018-06-05,100,-1
2018-06-10,,-1
2018-06-11,,-1
2018-06-13,100,1
2018-06-18,100,-1
2018-06-21,,-1
2018-06-22,,-1
2018-06-24,,-1
2018-06-25,100,1
2018-07-12,,1
2018-07-20,,1
2018-08-01,,1
2018-08-05,100,-1
2018-08-10,,-1
2018-08-16,,-1
2018-08-18,,-1
2018-08-23,,-1
2018-08-27,,-1
2018-08-29,,-1
2018-09-12,,-1
2018-09-22,,-1
2018-09-26,,-1
2018-10-01,,-1
2018-10-03,,-1
2018-10-17,,-1
2018-10-21,,0
2018-10-30,100,1
2018-11-05,100,-1
2018-11-08,,-1
2018-11-10,,-1
2018-11-15,,-1
2018-11-22,,-1
2018-11-23,,-1
2018-12-04,,-1
2018-12-10,,-1
2018-12-25,100,1
2019-01-09,100,-1
2019-01-10,,-1
2019-01-11,,-1
2019-01-14,,-1
2019-01-17,,-1
2019-01-21,,-1
2019-01-22,,-1
2019-01-28,100,1
2019-01-29,100,-1
2019-01-30,,-1
2019-01-31,,-1
2019-02-03,,-1
2019-02-05,100,1
2019-02-16,100,-1
2019-02-21,100,1
2019-02-22,,1
