Date,share_amount,bs_signal
2017-12-10,100,1
2017-12-11,,1
2017-12-14,,1
2017-12-24,200,-1
2018-01-01,,-1
2018-01-04,200,1
2018-01-08,,1
2018-01-11,,1
2018-01-20,200,-1
2018-01-21,,-1
2018-01-22,,-1
2018-01-28,,-1
2018-02-01,,-1
2018-02-03,,-1
2018-02-05,200,1
2018-02-07,200,-1
2018-02-08,,-1
2018-02-11,,-1
2018-02-14,,-1
2018-02-19,,-1
2018-02-20,,-1
2018-02-21,,-1
2018-02-25,,-1
2018-02-27,,-1
2018-03-04,,-1
2018-03-07,,-1
2018-03-19,,-1
2018-03-20,,-1
2018-03-26,,-1
2018-04-03,,-1
2018-04-06,200,1
2018-04-12,,1
2018-04-21,,1
2018-04-25,200,-1
2018-04-28,200,1
2018-04-30,,1
2018-05-04,200,-1
2018-05-11,,-1
2018-05-16,,-1
2018-05-25,,-1
2018-05-28,,-1
2018-05-29,,-1
2018-06-01,200,1
2018-06-04,200,-1
2018-06-07,,-1
2018-06-10,,-1
2018-06-15,,-1
2018-06-17,,-1
2018-06-18,,-1
2018-06-19,,-1
2018-07-01,200,1
2018-07-03,,1
2018-07-04,,1
2018-07-11,,1
2018-07-15,,1
2018-07-16,,1
2018-07-18,,1
2018-07-26,200,-1
2018-07-27,,-1
2018-07-28,,-1
2018-08-05,,-1
2018-08-11,,-1
2018-08-12,,-1
2018-08-14,,-1
2018-08-16,,-1
2018-08-17,,-1
2018-08-22,,-1
2018-08-23,,-1
2018-08-26,,-1
2018-08-29,,-1
2018-08-30,,-1
2018-09-03,,-1
2018-09-13,,-1
2018-09-18,,-1
2018-09-21,,-1
2018-10-01,,-1
2018-10-02,,-1
2018-10-04,,-1
2018-10-21,,-1
2018-10-23,,-1
2018-10-28,,-1
2018-10-29,,-1
2018-11-13,,-1
2018-11-14,,-1
2018-11-15,,-1
2018-11-16,,-1
2018-11-17,,-1
2018-11-23,,-1
2018-11-26,,-1
2018-11-28,,-1
2018-12-02,,-1
2018-12-04,,-1
2018-12-05,,-1
2018-12-09,,-1
2018-12-16,200,1
2018-12-28,,1
2018-12-30,200,-1
2019-01-06,,-1
2019-01-09,,-1
2019-01-12,,-1
2019-01-17,,-1
2019-01-19,,-1
2019-01-21,,-1
2019-01-22,,-1
2019-01-28,200,1
2019-01-30,,0
2019-02-11,,1
2019-02-14,,1
2019-02-20,,1
2019-02-24,,1
2019-03-10,200,-1
2019-03-12,200,1
2019-03-15,,1
2019-03-19,,1
2019-03-27,,1
2019-03-30,,1
2019-04-02,,1
2019-04-14,,1
2019-04-15,,1
2019-04-21,,1
2019-04-23,,1
2019-04-28,,1
2019-05-02,,1
2019-05-10,,1
2019-05-11,,1
2019-05-12,,1
2019-05-22,200,-1
2019-05-28,200,1
2019-06-04,200,-1
2019-06-07,,-1
2019-06-10,,-1
2019-06-12,,-1
2019-06-27,200,1
2019-06-29,,1
2019-07-04,200,-1
2019-07-06,,-1
2019-07-16,,-1
2019-08-02,200,1
2019-08-05,200,-1
2019-08-08,,-1
2019-08-16,,-1
2019-08-19,200,1
2019-08-20,,1
2019-08-25,,1
2019-09-16,200,-1
2019-09-28,,-1
2019-10-16,,-1
2019-10-25,200,1
2019-10-29,,1
2019-11-03,200,-1
2019-11-04,200,1
2019-11-07,200,-1
2019-11-21,,-1
2019-11-28,,-1
2019-12-02,,-1
2019-12-07,200,1
2019-12-12,,0
2019-12-15,200,-1
2019-12-20,200,1
2019-12-21,200,-1
2019-12-22,200,1
2019-12-26,,1
2019-12-31,,1
2020-01-04,200,-1
2020-01-05,,-1
2020-01-06,200,1
2020-01-07,,1
2020-01-08,,1
2020-01-12,,1
2020-01-13,,1
2020-01-16,,1
2020-01-19,,1
2020-01-23,,1
2020-02-01,,1
2020-02-03,,1
2020-02-04,,1
2020-02-12,200,-1
2020-02-15,,-1
2020-02-17,200,1
2020-02-24,200,-1
2020-03-09,,-1
2020-03-16,200,1
2020-03-17,,1
2020-03-18,,1
2020-03-20,,1
2020-03-21,,1
2020-03-26,,1
2020-03-28,,1
2020-04-01,,1
2020-04-02,,1
2020-04-04,,1
2020-04-16,200,-1
2020-04-23,200,1
2020-04-25,,1
2020-05-10,200,-1
2020-05-13,200,1
2020-05-19,,1
2020-05-23,,1
2020-05-27,,1
2020-05-31,,1
2020-06-02,,1
2020-06-04,,1
2020-06-05,200,-1
2020-06-09,,-1
2020-06-23,,-1
2020-07-03,200,1
2020-07-09,200,-1
2020-07-13,,-1
2020-07-19,,0
2020-07-24,,-1
2020-07-30,200,1
2020-08-15,,1
2020-08-27,,1
2020-09-06,200,-1
2020-09-07,,-1
2020-09-17,,-1
2020-09-22,200,1
2020-09-24,200,-1
2020-09-26,200,1
2020-10-05,,1
2020-10-06,,1
2020-10-11,,1
2020-10-16,,1
2020-10-17,,1
2020-10-23,,1
2020-10-29,,1
2020-11-10,,1
2020-11-14,,1
2020-11-17,,1
2020-11-23,,1
2020-11-24,200,-1
2020-11-29,200,1
2020-12-12,,1
2020-12-13,,1
2020-12-21,,1
2020-12-22,,1
2020-12-24,,1
2020-12-28,,1
2020-12-31,,1
2021-01-14,,1
2021-01-20,,0
2021-01-21,,1
2021-01-25,,1
2021-01-28,,1
2021-02-02,,1
2021-02-03,,1
2021-02-10,,1
2021-02-14,,1
2021-02-20,,1
2021-02-27,,1
2021-03-01,,1
2021-03-07,,1
2021-03-08,,1
2021-03-21,200,-1
2021-03-22,,-1
2021-03-28,200,1
2021-03-30,,1
2021-03-31,,1
2021-04-02,,1
2021-04-16,,1
2021-04-18,,1
2021-04-28,,1
2021-05-02,,1
2021-05-06,,1
2021-05-09,200,-1
2021-05-10,,-1
2021-05-15,,-1
2021-05-23,200,1
2021-05-26,,1
2021-05-31,,1
2021-06-02,,1
2021-06-10,,1
2021-07-12,200,-1
2021-07-14,,-1
2021-08-05,200,1
2021-08-25,,1
2021-08-28,200,-1
2021-09-07,,-1
2021-09-08,200,1
2021-09-16,200,-1
2021-09-22,200,1
2021-09-23,,1
2021-09-24,,1
2021-09-27,,1
2021-10-12,200,-1
2021-10-16,200,1
2021-10-18,,1
2021-11-03,,1
2021-11-09,200,-1
2021-11-14,,-1
2021-11-17,200,1
2021-11-21,,1
2021-11-23,,1
2021-12-05,,1
2021-12-07,,1
2021-12-09,,1
2021-12-10,,1
2021-12-12,,1
2021-12-18,,1
2021-12-20,,1
2021-12-26,200,-1
2021-12-27,,-1
2021-12-30,,-1
2022-01-06,200,1
2022-01-11,200,-1
2022-01-23,200,1
2022-01-30,,1
2022-02-01,,1
2022-02-09,200,-1
2022-02-14,,-1
2022-02-23,200,1
2022-03-05,,1
2022-03-06,,1
2022-03-09,,1
2022-03-20,,1
2022-03-22,,1
2022-03-28,,1
2022-03-29,,1
2022-04-07,200,-1
2022-04-12,200,1
2022-04-25,,1
2022-04-28,,1
2022-04-30,200,-1
2022-05-04,200,1
2022-05-12,,1
2022-05-16,,1
2022-05-18,200,-1
