Date,bs_signal
2017-11-21,1
2017-11-27,1
2017-12-01,-1
2017-12-08,1
2017-12-22,1
2017-12-26,1
2017-12-27,1
2018-01-01,1
2018-01-09,-1
2018-01-11,1
2018-01-13,-1
2018-01-16,1
2018-01-27,-1
2018-01-31,-1
2018-02-06,1
2018-02-11,0
2018-02-21,-1
2018-02-28,0
2018-03-07,0
2018-03-11,-1
2018-03-25,-1
2018-04-04,-1
2018-04-05,-1
2018-04-25,-1
2018-05-02,1
2018-05-10,1
2018-05-17,-1
2018-05-19,-1
2018-05-21,-1
2018-05-31,1
2018-06-03,1
2018-06-16,-1
2018-06-30,1
2018-07-07,-1
2018-07-08,-1
2018-07-12,1
2018-08-01,1
2018-08-14,0
2018-08-19,-1
2018-08-22,0
2018-08-23,1
2018-08-25,1
2018-08-31,0
2018-09-06,0
2018-09-07,0
2018-09-10,1
2018-09-14,0
2018-09-17,0
2018-09-20,-1
2018-09-21,-1
2018-09-26,-1
2018-10-06,-1
2018-10-11,0
2018-10-16,0
2018-10-23,-1
2018-10-30,1
2018-11-08,-1
2018-11-11,-1
2018-11-12,-1
2018-11-14,-1
2018-11-24,1
2018-11-25,1
2018-12-03,-1
2018-12-12,1
2018-12-14,1
2018-12-21,1
2019-01-02,-1
2019-01-04,-1
2019-01-07,-1
2019-01-08,-1
2019-01-15,-1
2019-01-28,-1
2019-01-29,-1
2019-01-30,-1
2019-02-05,1
2019-02-09,0
2019-02-10,0
2019-02-14,-1
2019-02-23,-1
2019-02-25,0
2019-03-02,-1
2019-03-13,1
2019-03-20,0
2019-03-30,1
2019-04-17,0
2019-04-20,1
2019-04-23,1
2019-04-24,0
2019-04-27,1
2019-05-08,-1
2019-05-11,1
2019-05-21,-1
2019-05-26,1
2019-05-27,1
2019-05-28,-1
2019-06-04,-1
2019-06-05,-1
2019-06-13,1
2019-06-18,1
2019-06-19,-1
2019-06-20,-1
2019-06-23,-1
2019-06-26,1
2019-07-11,-1
2019-07-19,-1
2019-07-22,0
2019-08-03,1
2019-08-04,1
2019-08-16,0
2019-08-23,-1
2019-08-24,-1
2019-08-25,-1
2019-08-31,1
2019-09-04,1
2019-09-12,0
2019-09-13,0
2019-09-18,1
2019-09-19,1
2019-09-27,1
2019-10-20,1
2019-10-21,1
2019-10-22,1
2019-10-29,0
2019-10-31,0
2019-11-03,0
2019-11-05,-1
2019-11-13,0
2019-11-16,-1
2019-11-18,-1
2019-11-21,1
2019-11-22,1
2019-11-26,1
2019-12-04,-1
2019-12-12,-1
2019-12-16,0
2019-12-17,-1
2019-12-18,-1
2019-12-21,-1
2019-12-23,1
2019-12-25,1
2019-12-27,1
2019-12-29,1
2019-12-30,1
2019-12-31,1
2020-01-06,-1
2020-01-08,-1
2020-01-11,1
2020-01-20,0
2020-01-21,-1
2020-01-22,-1
2020-01-27,-1
2020-01-31,1
2020-02-02,1
2020-02-05,1
2020-02-06,1
2020-02-11,-1
2020-02-12,-1
2020-02-13,-1
2020-02-14,-1
2020-02-18,0
2020-02-26,-1
2020-02-28,-1
2020-03-09,-1
2020-03-15,1
2020-03-23,1
2020-03-28,1
2020-03-31,1
2020-04-08,-1
2020-04-10,1
2020-04-12,-1
2020-04-17,-1
2020-04-19,1
2020-04-23,1
2020-04-26,1
2020-05-13,1
2020-05-20,0
2020-05-24,0
2020-06-01,-1
2020-06-02,0
2020-06-03,0
2020-06-12,-1
2020-06-25,0
2020-06-27,0
2020-07-05,-1
2020-07-08,-1
2020-07-10,-1
2020-07-12,-1
2020-07-13,-1
2020-07-14,-1
2020-07-17,1
2020-07-18,1
2020-07-20,1
2020-07-29,1
2020-08-05,-1
2020-08-06,1
2020-08-12,1
2020-08-15,-1
2020-08-27,0
2020-08-30,-1
2020-09-11,0
2020-10-03,1
2020-10-06,1
2020-10-11,0
2020-10-18,1
2020-10-19,1
2020-10-21,-1
2020-10-28,0
2020-10-29,0
2020-11-04,-1
2020-11-07,-1
2020-11-10,1
2020-11-12,1
2020-11-16,1
2020-11-23,-1
2020-11-25,0
2020-11-26,1
2020-12-03,0
2020-12-06,1
2020-12-10,1
2020-12-12,1
2020-12-14,1
2020-12-20,1
2020-12-22,1
2020-12-23,1
2021-01-02,1
2021-01-03,1
2021-01-07,-1
2021-01-09,-1
2021-01-16,0
2021-01-18,0
2021-01-23,0
2021-01-24,-1
2021-01-29,1
2021-02-04,1
2021-02-18,-1
2021-02-22,-1
2021-03-01,1
2021-03-03,1
2021-03-08,1
2021-03-16,-1
2021-03-26,1
2021-03-28,1
2021-04-09,-1
2021-04-10,1
2021-04-13,-1
2021-04-16,1
2021-04-17,-1
2021-05-01,-1
2021-05-02,-1
2021-05-08,1
2021-05-16,-1
2021-05-17,-1
2021-05-18,-1
2021-05-20,1
2021-05-22,1
2021-05-24,1
2021-05-29,1
2021-06-11,-1
2021-06-23,-1
2021-06-24,-1
2021-06-30,1
2021-07-10,-1
2021-07-11,-1
2021-07-17,1
2021-07-21,1
2021-07-26,1
2021-08-01,-1
2021-08-02,-1
2021-08-05,1
2021-08-06,1
2021-08-07,-1
2021-08-14,-1
2021-09-01,-1
2021-09-08,-1
2021-09-09,1
2021-09-10,-1
2021-09-23,-1
2021-09-26,-1
2021-09-28,-1
2021-10-02,1
2021-10-04,1
2021-10-05,1
2021-10-10,1
2021-10-25,1
2021-10-26,1
2021-11-12,-1
2021-11-15,1
2021-11-17,0
2021-11-20,1
2021-11-24,-1
2021-11-29,-1
2021-12-01,0
2021-12-03,0
2021-12-04,0
2021-12-09,-1
2021-12-22,-1
2021-12-23,1
2021-12-27,-1
2022-01-03,-1
2022-01-09,-1
2022-01-11,0
2022-01-18,1
2022-01-26,-1
2022-02-27,-1
2022-02-28,1
2022-03-02,-1
2022-03-10,-1
2022-03-13,-1
2022-03-15,-1
2022-03-19,1
2022-03-20,1
2022-03-21,-1
2022-03-22,-1
2022-03-26,-1
2022-03-27,1
2022-04-06,1
2022-04-08,1
2022-04-10,-1
2022-04-12,0
2022-04-14,0
2022-04-18,0
2022-04-25,1
2022-05-03,-1
2022-05-06,-1
2022-05-20,-1
2022-05-27,1
2022-06-01,-1
2022-06-04,-1
2022-06-09,-1
2022-06-16,1
2022-06-17,1
2022-06-21,1
2022-06-24,-1
2022-06-29,1
2022-07-14,-1
2022-07-15,0
2022-07-18,-1
2022-07-20,-1
2022-07-29,1
2022-08-08,1
2022-08-11,1
2022-08-14,-1
2022-08-16,0
2022-08-17,-1
2022-08-22,-1
2022-09-02,1
2022-09-04,0
2022-09-12,-1
2022-09-22,-1
2022-09-23,-1
2022-09-25,-1
2022-09-26,-1
2022-09-27,1
2022-10-03,0
2022-10-04,1
2022-10-05,-1
2022-10-17,0
2022-10-24,0
2022-11-04,-1
2022-11-11,-1
2022-11-12,-1
2022-11-17,0
2022-11-18,0
2022-11-26,0
2022-11-27,0
2022-11-30,0
2022-12-02,0
2022-12-04,0
2022-12-07,0
2022-12-10,-1
2022-12-11,-1
